alumni_id,graduation_year,age,events_attended,emails_received,emails_opened,newsletter_clicks,volunteer_events,previous_donations,total_donation_amount,donation_frequency,days_since_last_donation,career_level,industry,days_since_last_interaction,donated_next_12_months
10050,2007,38,10,9,16,4,5,2,3917,3,652,Executive,Other,392,1
10051,1986,57,0,6,21,5,0,2,9716,0,817,Senior,Healthcare,331,0
10052,2023,54,2,32,16,8,1,4,8669,0,692,Senior,Manufacturing,455,1
10053,1987,22,5,45,13,9,3,5,4271,0,499,Executive,Manufacturing,385,1
10054,2014,36,0,31,13,14,0,1,238,0,425,Senior,Technology,48,1
10055,1993,34,10,35,16,13,2,2,8801,2,876,Entry,Manufacturing,303,1
10056,1996,38,1,45,7,7,2,3,7002,3,664,Entry,Healthcare,54,1
10057,2015,45,6,40,33,13,2,2,7768,3,43,Mid,Manufacturing,335,1
10058,2019,29,0,47,25,10,3,3,5883,3,108,Entry,Healthcare,66,1
10059,1983,48,6,5,29,13,2,2,5785,5,97,Senior,Education,114,1
10060,1981,66,3,33,21,13,5,4,5093,0,738,Entry,Healthcare,111,1
10061,1985,44,9,5,15,2,0,3,6438,0,444,Mid,Technology,158,1
10062,2021,67,5,12,29,12,5,1,6174,5,80,Entry,Finance,106,1
10063,1983,29,7,20,15,4,2,2,9346,5,217,Senior,Other,25,1
10064,2008,29,8,32,37,15,0,2,9943,1,148,Executive,Finance,488,1
10065,1997,47,5,26,23,3,5,4,5445,2,946,Mid,Education,109,1
10066,2005,68,10,22,35,13,3,3,3338,5,75,Executive,Technology,65,1
10067,2023,34,8,26,34,0,1,5,2333,3,591,Entry,Education,413,1
10068,2013,60,3,45,5,4,5,4,4386,2,563,Mid,Education,204,1
10069,1989,58,5,16,3,9,4,3,4581,5,62,Mid,Manufacturing,100,1
10070,2015,49,7,23,17,6,2,2,6698,3,595,Entry,Manufacturing,499,1
10071,1993,46,8,29,5,0,4,2,8359,0,949,Mid,Technology,205,1
10072,2010,37,2,9,25,3,1,2,3542,0,393,Entry,Finance,0,1
10073,1994,23,1,38,36,5,3,2,5886,3,854,Executive,Healthcare,223,1
10074,1987,39,5,43,26,10,5,0,0,4,502,Executive,Manufacturing,69,1
10075,1993,38,3,14,40,11,3,2,6914,0,366,Senior,Technology,149,1
10076,2002,51,0,11,10,8,1,2,7513,1,477,Senior,Technology,458,1
10077,2019,60,7,41,37,10,4,5,8269,5,254,Entry,Finance,368,1
10078,2000,34,8,19,15,7,5,5,1108,0,58,Entry,Technology,214,1
10079,1995,53,8,46,18,1,2,3,9083,1,519,Executive,Other,309,1
10080,2024,50,1,28,14,10,0,2,4756,2,818,Mid,Technology,141,1
10081,1997,67,8,30,25,2,3,2,1224,0,388,Entry,Finance,13,1
10082,2003,51,6,30,40,9,1,3,7528,5,587,Mid,Manufacturing,467,0
10083,2005,39,4,50,30,12,5,2,8756,0,425,Senior,Finance,198,1
10084,2004,34,6,30,18,4,4,2,2859,5,589,Executive,Education,18,1
10085,2024,64,8,14,23,10,2,4,8493,2,635,Entry,Manufacturing,409,1
10086,2020,42,7,21,8,6,4,0,0,5,501,Senior,Education,314,1
10087,2008,51,5,18,22,2,2,3,2412,1,523,Entry,Technology,149,0
10088,1994,42,3,6,3,11,5,4,2647,4,279,Senior,Education,261,1
10089,2024,69,0,17,9,6,0,5,3338,5,44,Executive,Finance,318,1
10090,1980,38,5,31,8,4,0,1,5804,5,564,Entry,Finance,332,1
10091,2004,61,2,13,18,9,1,1,7231,1,180,Entry,Healthcare,73,0
10092,1986,40,5,11,14,5,1,5,4523,3,400,Mid,Other,437,1
10093,1988,36,5,14,33,5,2,0,0,3,960,Mid,Technology,382,1
10094,2003,30,3,13,18,10,2,1,3645,3,373,Entry,Finance,402,1
10095,1980,31,1,26,20,10,2,0,0,5,233,Executive,Manufacturing,350,0
10096,2023,65,8,27,33,13,2,1,11,2,185,Mid,Finance,265,1
10097,1987,52,1,11,16,11,5,1,6609,1,804,Entry,Manufacturing,292,1
10098,2003,44,2,13,17,3,5,4,3145,5,74,Entry,Technology,460,1
10099,1990,51,9,31,16,11,0,1,874,0,937,Senior,Other,144,0
10100,1996,54,0,28,1,7,1,5,7303,5,709,Executive,Healthcare,438,0
10101,1987,30,6,33,0,8,1,0,0,3,590,Mid,Healthcare,132,1
10102,2014,68,0,21,9,1,3,2,4650,1,232,Mid,Education,404,0
10103,2014,22,10,24,36,8,1,2,7710,0,167,Senior,Finance,373,1
10104,2012,65,8,11,4,10,1,2,6797,1,534,Entry,Technology,422,0
10105,1984,56,10,47,11,11,4,0,0,2,406,Mid,Education,147,0
10106,2021,32,10,44,35,3,4,0,0,3,997,Entry,Technology,454,1
10107,2018,55,0,11,30,5,3,2,9771,4,229,Mid,Technology,398,1
10108,2020,37,4,32,37,15,2,5,8544,5,816,Mid,Education,78,1
10109,2007,30,6,23,8,13,3,1,8162,3,895,Entry,Technology,308,1
10110,1986,53,2,24,25,6,3,2,9698,3,971,Entry,Education,214,1
10111,1988,36,8,48,14,3,0,3,3487,2,646,Mid,Other,32,1
10112,1987,33,7,43,15,7,5,0,0,0,292,Senior,Finance,377,1
10113,1991,54,2,44,12,12,1,3,2390,3,399,Senior,Education,427,1
10114,2013,66,4,11,24,13,0,3,4030,0,37,Senior,Finance,193,0
10115,2012,35,6,10,29,9,5,0,0,0,231,Senior,Healthcare,177,1
10116,2002,29,3,29,6,7,1,2,3438,2,866,Senior,Education,287,1
10117,2003,29,4,45,3,0,3,5,2383,3,167,Entry,Other,334,0
10118,2016,48,2,17,39,7,1,4,3367,5,284,Mid,Healthcare,454,1
10119,2014,33,8,43,37,9,2,3,6167,2,102,Senior,Education,200,1
10120,2023,22,9,44,29,13,2,2,1465,2,144,Executive,Technology,438,1
10121,2019,64,8,26,9,11,3,4,2151,4,754,Mid,Healthcare,411,1
10122,2001,61,6,21,29,2,4,3,3483,5,985,Executive,Manufacturing,469,1
10123,2006,63,9,26,38,15,2,2,573,2,659,Entry,Manufacturing,2,1
10124,2014,32,1,38,6,4,3,3,774,4,365,Mid,Manufacturing,52,0
10125,1980,60,6,12,35,13,0,2,7030,0,152,Entry,Healthcare,425,1
10126,2014,64,6,49,34,9,4,5,4338,5,827,Executive,Finance,257,1
10127,2016,52,10,22,23,7,2,1,8021,5,421,Mid,Education,120,1
10128,1993,38,4,28,38,10,3,1,3930,0,318,Mid,Technology,149,1
10129,1982,54,8,46,35,5,3,0,0,1,806,Entry,Technology,152,1
10130,1980,53,10,6,19,3,0,4,2220,5,637,Mid,Healthcare,216,1
10131,1984,50,2,6,31,14,0,3,1439,1,703,Executive,Manufacturing,415,0
10132,2005,42,3,31,38,3,4,3,6246,0,484,Entry,Other,491,1
10133,1993,42,0,18,25,11,5,2,7424,3,82,Executive,Technology,134,1
10134,2018,61,5,43,25,3,2,4,8905,1,532,Mid,Other,255,1
10135,2006,44,3,16,35,5,3,3,6700,2,287,Executive,Other,61,1
10136,1988,27,0,36,34,6,4,4,8767,5,795,Mid,Technology,286,1
10137,1994,43,1,32,34,12,4,4,6339,1,870,Executive,Finance,62,1
10138,1994,59,2,32,11,4,0,1,5084,5,488,Executive,Technology,292,0
10139,2005,58,8,50,32,9,3,3,5510,0,267,Senior,Technology,67,1
10140,2021,66,7,29,35,13,1,3,69,3,632,Mid,Education,224,1
10141,1992,29,6,8,13,7,5,0,0,0,622,Senior,Technology,334,1
10142,2011,62,10,30,32,15,5,4,8934,3,78,Senior,Education,136,1
10143,2018,56,3,40,23,6,0,2,6728,5,859,Entry,Manufacturing,453,0
10144,2011,32,0,7,14,7,3,1,4150,1,375,Entry,Finance,45,1
10145,1983,45,7,5,30,14,4,0,0,2,596,Executive,Other,94,1
10146,2009,42,3,21,16,3,5,1,7410,2,591,Mid,Technology,289,1
10147,2016,23,2,11,11,7,4,2,9568,0,150,Entry,Finance,363,1
10148,2002,61,8,9,21,12,2,0,0,5,755,Senior,Other,246,1
10149,2018,40,9,23,22,5,1,1,3007,3,729,Mid,Finance,315,1
10150,2024,60,3,43,25,2,0,2,8143,1,14,Executive,Other,485,0
10151,1994,49,3,50,13,12,5,5,6870,3,100,Executive,Other,396,1
10152,2022,38,8,38,11,7,2,0,0,3,779,Entry,Finance,291,1
10153,2008,27,10,39,3,12,2,2,4242,3,387,Entry,Healthcare,479,1
10154,2015,40,1,20,12,6,1,0,0,5,34,Entry,Education,213,1
10155,1992,59,4,44,17,9,0,3,9871,1,350,Executive,Other,255,1
10156,2011,49,3,43,27,4,0,3,7778,5,956,Senior,Other,47,1
10157,1986,23,8,31,37,10,4,1,9906,3,282,Entry,Other,92,0
10158,2001,59,4,45,40,3,0,4,1197,5,636,Executive,Other,458,1
10159,2007,58,8,42,18,0,2,5,2337,2,735,Mid,Finance,5,1
10160,1981,25,10,29,37,9,4,4,8086,0,672,Executive,Other,388,1
10161,2021,43,8,30,2,2,0,2,3193,4,524,Mid,Manufacturing,192,1
10162,2024,47,1,18,18,1,1,0,0,3,164,Mid,Technology,498,1
10163,1985,64,8,18,19,7,2,3,5220,2,427,Senior,Other,102,1
10164,2007,57,2,18,24,13,3,4,2973,5,257,Entry,Finance,433,1
10165,2007,34,3,29,10,7,1,3,6531,2,933,Mid,Other,73,0
10166,2023,53,0,40,16,11,1,5,3165,0,804,Entry,Finance,73,1
10167,2023,38,0,8,34,4,0,2,1090,0,442,Executive,Other,112,1
10168,1999,62,0,19,13,15,4,5,8441,4,625,Entry,Technology,151,1
10169,2009,57,8,36,38,13,4,5,141,4,119,Executive,Other,262,1
10170,1990,67,10,22,18,4,2,2,266,4,68,Mid,Manufacturing,85,1
10171,2007,40,7,18,2,15,0,0,0,1,273,Senior,Other,57,1
10172,2004,56,4,5,33,14,4,5,4310,1,559,Mid,Other,148,1
10173,2018,67,4,46,40,10,5,4,8680,2,848,Executive,Finance,213,1
10174,2012,61,8,24,21,3,3,2,8687,5,321,Mid,Finance,416,0
10175,1980,49,2,14,37,0,5,2,479,0,944,Senior,Other,299,1
10176,2006,22,2,14,26,0,0,3,2690,3,361,Entry,Manufacturing,280,0
10177,1992,63,6,28,20,12,0,1,5999,0,569,Executive,Finance,94,1
10178,2020,39,8,38,40,5,4,5,4936,1,930,Entry,Manufacturing,496,1
10179,1982,69,5,32,30,14,1,4,2427,2,589,Senior,Finance,207,1
10180,2018,61,1,31,26,3,0,0,0,3,498,Mid,Technology,371,0
10181,1985,54,0,44,36,3,1,5,8064,4,203,Senior,Manufacturing,142,1
10182,1987,33,1,5,1,2,2,0,0,4,953,Executive,Technology,412,1
10183,2006,29,0,37,8,13,2,3,5981,1,736,Executive,Technology,82,1
10184,1988,45,9,8,18,8,4,5,3911,2,774,Mid,Finance,51,1
10185,2016,37,9,11,35,2,2,0,0,5,505,Executive,Manufacturing,16,1
10186,2012,25,8,13,9,7,5,5,2349,0,614,Senior,Healthcare,217,1
10187,2021,59,9,20,39,1,5,2,649,1,108,Executive,Technology,227,1
10188,2023,65,7,9,38,3,5,5,5536,5,264,Entry,Technology,291,1
10189,2003,48,6,38,6,0,4,4,2856,5,836,Senior,Technology,418,1
10190,1994,30,2,27,3,10,4,5,5578,0,387,Senior,Finance,423,1
10191,2011,68,7,47,14,4,5,0,0,3,415,Executive,Finance,406,1
10192,2011,37,1,29,11,1,1,4,8116,0,900,Mid,Technology,200,0
10193,2003,33,1,17,5,10,5,0,0,3,567,Mid,Other,417,1
10194,2020,52,10,28,8,12,1,1,1293,5,311,Mid,Finance,441,1
10195,1991,45,9,15,34,0,2,1,3258,2,251,Executive,Finance,498,1
10196,2018,35,2,21,7,0,1,4,2713,1,811,Executive,Finance,81,1
10197,1981,66,6,41,6,1,0,1,8595,0,583,Executive,Education,127,0
10198,1982,46,0,17,3,4,3,1,4032,2,652,Senior,Manufacturing,79,1
10199,2016,55,7,31,12,11,0,2,1546,2,387,Senior,Finance,188,1
10200,1996,24,6,24,18,14,0,0,0,0,691,Executive,Education,479,1
10201,1981,45,3,37,6,14,4,1,2825,4,202,Mid,Education,155,0
10202,1981,63,4,46,9,8,3,4,4206,5,782,Entry,Finance,315,1
10203,2007,30,9,36,24,5,4,2,9004,4,887,Mid,Other,159,1
10204,2002,47,0,12,34,11,1,1,3374,3,109,Senior,Education,241,1
10205,2016,41,3,33,24,3,5,5,9121,2,81,Senior,Healthcare,313,1
10206,2011,61,0,44,28,14,1,4,7640,1,595,Mid,Education,81,1
10207,2012,31,0,23,11,2,3,0,0,1,768,Mid,Manufacturing,43,1
10208,1980,40,9,10,39,7,2,5,6078,2,192,Senior,Education,161,1
10209,1998,24,0,48,11,2,1,1,3323,4,138,Senior,Finance,220,1
10210,1981,45,6,43,5,0,0,4,8366,5,220,Executive,Other,148,1
10211,2023,26,6,45,9,3,3,5,7105,2,188,Entry,Technology,123,1
10212,2005,24,3,25,1,10,3,4,1363,3,860,Executive,Healthcare,0,1
10213,2011,48,1,26,24,12,1,3,9229,2,855,Executive,Education,182,1
10214,1985,37,2,46,6,4,1,5,7489,0,339,Mid,Other,207,0
10215,2011,36,7,14,39,15,4,4,7951,4,477,Mid,Healthcare,432,1
10216,1983,56,7,14,22,4,4,5,3011,0,958,Entry,Manufacturing,96,1
10217,1990,33,10,33,10,15,0,3,2090,0,421,Executive,Education,20,0
10218,1996,62,10,20,35,4,3,0,0,2,196,Executive,Education,354,0
10219,2017,65,5,5,22,7,2,0,0,5,812,Senior,Healthcare,438,1
10220,2003,47,9,21,6,15,2,2,4433,2,585,Senior,Education,410,1
10221,1984,68,8,34,26,7,3,5,5098,5,197,Entry,Education,403,1
10222,2013,55,10,30,12,11,0,3,1133,1,323,Mid,Technology,222,0
10223,1985,44,8,50,16,12,4,4,353,5,259,Senior,Healthcare,399,1
10224,2001,52,3,23,31,3,4,2,9299,0,198,Entry,Finance,500,1
10225,1990,41,0,25,25,14,4,5,2113,2,815,Executive,Finance,461,1
10226,1995,33,0,21,21,8,2,2,7555,1,864,Entry,Manufacturing,47,1
10227,2012,44,9,50,12,15,2,5,6010,0,136,Entry,Technology,31,1
10228,1988,25,4,44,11,0,0,0,0,1,345,Senior,Healthcare,488,1
10229,1985,44,1,25,6,4,2,4,3206,4,499,Senior,Healthcare,287,1
10230,1995,69,5,45,0,4,1,3,1109,3,174,Executive,Technology,436,1
10231,2008,69,6,44,32,4,2,0,0,0,488,Executive,Technology,379,1
10232,1982,22,0,49,13,7,4,2,9204,2,468,Executive,Manufacturing,436,0
10233,1999,46,5,23,40,8,0,1,3106,5,315,Entry,Finance,129,1
10234,2015,23,7,11,16,2,3,2,3936,4,819,Entry,Other,440,1
10235,1998,51,4,21,3,8,3,1,9658,1,379,Senior,Healthcare,492,1
10236,2005,24,6,5,38,12,0,5,8461,3,853,Executive,Other,277,1
10237,1982,42,9,41,0,10,1,0,0,5,928,Senior,Technology,484,1
10238,1998,46,5,10,40,7,3,5,6549,0,441,Executive,Healthcare,244,1
10239,1999,41,3,30,23,2,4,3,9723,3,864,Executive,Finance,51,1
10240,2011,43,6,6,33,1,3,4,8495,4,815,Senior,Healthcare,208,1
10241,1986,42,9,36,33,14,3,1,5148,3,132,Senior,Other,351,1
10242,2020,54,8,9,23,3,4,4,1932,0,980,Senior,Healthcare,229,1
10243,2012,59,9,41,14,14,2,5,2040,4,26,Executive,Technology,464,1
10244,2019,36,9,35,16,12,1,0,0,1,936,Entry,Technology,185,0
10245,2018,67,6,16,12,11,4,0,0,0,256,Senior,Technology,161,1
10246,1997,36,4,39,6,1,4,5,6789,3,562,Senior,Finance,198,1
10247,2019,67,6,34,8,3,5,5,5775,0,655,Entry,Education,476,1
10248,1980,46,2,10,34,4,0,0,0,4,866,Entry,Finance,400,1
10249,1990,42,1,19,22,1,1,3,947,3,355,Mid,Technology,471,1
10250,2007,45,10,19,38,11,2,1,765,1,235,Senior,Manufacturing,455,1
10251,2004,26,4,20,22,7,5,4,7172,5,671,Mid,Healthcare,278,1
10252,2002,27,3,24,25,0,4,2,5015,2,988,Mid,Healthcare,32,1
10253,2010,64,4,17,0,2,5,5,9130,1,358,Entry,Other,412,1
10254,2009,69,7,48,13,6,2,5,2496,0,814,Executive,Healthcare,18,1
10255,2021,65,3,46,31,9,5,0,0,2,918,Executive,Other,120,1
10256,2014,68,8,50,9,0,5,4,1262,5,270,Entry,Healthcare,68,1
10257,1986,44,6,35,0,12,5,4,6393,5,665,Mid,Manufacturing,292,1
10258,1995,25,9,38,4,10,4,3,5050,4,548,Mid,Other,214,1
10259,2005,48,6,33,2,14,4,1,5410,5,509,Mid,Technology,122,1
10260,1981,39,7,7,26,1,0,3,542,3,728,Mid,Education,409,0
10261,1980,42,5,13,21,2,3,3,6664,3,438,Senior,Healthcare,279,1
10262,1991,49,7,15,17,13,1,4,7723,4,641,Mid,Other,53,1
10263,1984,56,2,15,15,15,0,1,2781,5,587,Entry,Education,20,0
10264,2016,43,9,29,1,13,2,1,2612,0,914,Mid,Other,96,1
10265,2011,61,9,26,12,1,5,1,1199,1,799,Mid,Finance,345,1
10266,1988,44,0,46,15,1,4,0,0,2,470,Entry,Finance,137,1
10267,2020,24,5,50,7,11,5,1,6323,4,708,Mid,Healthcare,41,1
10268,2014,61,0,13,7,10,4,4,4688,5,310,Executive,Technology,412,1
10269,1998,31,8,24,9,5,1,0,0,0,216,Entry,Manufacturing,440,0
10270,1995,46,1,25,32,6,0,2,3681,0,610,Senior,Other,245,1
10271,1982,29,10,14,30,5,0,5,5229,2,311,Senior,Healthcare,418,1
10272,1999,32,1,26,11,10,2,3,3495,4,796,Entry,Finance,27,1
10273,2003,26,6,33,8,5,0,1,8856,1,229,Senior,Finance,395,0
10274,2012,66,1,13,36,14,0,2,6078,1,620,Senior,Other,57,1
10275,2003,58,9,9,8,8,3,1,3162,4,339,Senior,Other,126,0
10276,1990,66,7,44,17,7,1,3,1416,3,494,Entry,Other,427,1
10277,1987,59,5,15,29,13,5,4,3108,5,163,Mid,Education,262,1
10278,2015,50,6,5,31,7,0,4,8708,1,115,Senior,Manufacturing,143,1
10279,2017,26,6,46,39,5,2,3,9041,3,70,Executive,Other,467,1
10280,2019,30,5,5,22,4,5,2,7829,4,725,Mid,Other,92,1
10281,1999,69,9,43,10,8,4,0,0,5,849,Mid,Healthcare,34,1
10282,2014,23,10,50,19,11,0,5,8507,0,52,Senior,Technology,91,1
10283,2004,22,8,9,18,1,0,5,7573,4,596,Senior,Education,262,0
10284,2014,61,8,26,35,6,5,5,9699,0,341,Mid,Manufacturing,469,1
10285,2004,51,6,30,25,5,4,0,0,4,934,Senior,Education,13,0
10286,2008,32,8,10,9,6,3,1,1934,3,587,Entry,Other,314,1
10287,1997,49,9,36,23,11,1,3,5951,5,778,Entry,Technology,483,1
10288,1997,65,2,15,12,3,3,3,4344,3,759,Senior,Other,317,1
10289,1981,33,2,14,33,8,2,0,0,5,331,Mid,Finance,201,1
10290,2014,60,0,43,28,6,5,2,9993,4,985,Senior,Other,375,1
10291,1995,47,4,38,35,1,0,5,6334,0,797,Executive,Healthcare,321,1
10292,2020,34,3,35,6,12,3,3,2622,4,78,Entry,Healthcare,277,0
10293,2015,29,1,16,29,3,1,4,9048,0,967,Mid,Technology,143,1
10294,2012,49,8,48,16,4,2,4,5565,3,106,Executive,Other,354,1
10295,1983,51,2,20,12,1,3,3,1525,2,948,Senior,Healthcare,494,1
10296,2012,30,7,42,23,9,0,5,1416,1,81,Entry,Healthcare,487,1
10297,1993,60,5,7,30,7,1,5,1794,3,201,Executive,Other,495,1
10298,2000,52,4,6,26,0,0,5,2720,4,391,Mid,Education,458,1
10299,1999,42,0,9,20,14,0,2,6826,4,229,Entry,Technology,375,0
10300,1987,68,3,15,0,2,2,4,6795,0,738,Senior,Education,490,1
10301,1986,55,2,29,14,14,1,2,3676,1,19,Senior,Healthcare,298,1
10302,1982,52,0,39,2,13,4,0,0,5,779,Entry,Other,352,1
10303,1996,46,4,39,5,0,0,1,6369,3,322,Executive,Manufacturing,353,1
10304,2012,33,5,26,13,14,1,5,8544,1,467,Entry,Other,371,1
10305,1991,22,1,41,37,4,0,0,0,1,689,Entry,Manufacturing,480,0
10306,2001,43,2,26,32,7,3,1,5826,3,893,Entry,Education,466,1
10307,2001,61,10,15,37,6,3,4,2192,0,651,Executive,Finance,403,1
10308,2009,58,5,36,7,8,1,1,9969,5,309,Entry,Other,393,1
10309,2017,68,3,39,25,1,2,1,3536,0,471,Mid,Finance,402,1
10310,2017,22,8,35,14,15,4,3,7299,0,591,Senior,Technology,244,0
10311,2024,22,4,49,13,11,3,1,9308,2,891,Executive,Manufacturing,490,0
10312,1987,63,3,12,19,7,2,3,2320,1,693,Mid,Manufacturing,11,1
10313,2006,63,1,24,18,7,4,1,7871,2,73,Entry,Education,393,1
10314,2006,42,5,46,32,13,3,3,533,0,658,Mid,Other,70,1
10315,2013,36,9,38,35,5,4,4,9409,5,744,Executive,Healthcare,183,1
10316,2000,38,1,8,23,2,5,4,5351,3,653,Senior,Technology,103,1
10317,2009,43,6,22,9,1,0,1,1979,1,435,Executive,Education,10,1
10318,2012,59,2,8,33,13,1,2,2076,3,461,Entry,Finance,497,1
10319,2007,56,8,24,35,7,3,4,8723,4,149,Entry,Other,207,1
10320,2012,66,10,13,35,5,3,0,0,1,643,Senior,Healthcare,224,0
10321,1984,37,4,20,15,3,0,0,0,3,750,Executive,Technology,316,1
10322,1998,29,7,30,14,4,3,3,4114,0,883,Executive,Other,381,1
10323,1983,68,10,42,17,4,3,2,2584,2,314,Executive,Healthcare,421,1
10324,2014,38,5,29,6,12,5,5,9740,3,673,Mid,Finance,272,1
10325,1996,38,9,8,21,8,3,3,1488,5,831,Senior,Education,53,1
10326,2023,47,7,45,31,12,3,1,3659,4,249,Executive,Education,172,1
10327,2007,34,10,49,18,12,3,4,6402,0,639,Senior,Manufacturing,246,0
10328,2009,38,2,45,39,8,2,2,8047,4,273,Mid,Other,152,1
10329,2008,59,2,42,0,7,3,3,227,5,481,Executive,Education,105,1
10330,1985,38,4,23,34,7,0,3,4471,5,81,Mid,Manufacturing,158,0
10331,2014,69,10,18,4,15,5,0,0,2,231,Entry,Education,105,1
10332,2020,35,9,25,11,11,3,1,7623,4,30,Entry,Technology,192,1
10333,2016,66,2,19,11,1,4,3,4352,5,745,Entry,Other,294,1
10334,2003,27,7,7,20,13,5,0,0,3,83,Senior,Finance,275,1
10335,2008,56,9,41,18,2,5,2,7315,5,995,Executive,Other,72,1
10336,2010,67,7,50,8,13,4,3,698,5,41,Executive,Other,42,1
10337,2014,35,1,20,35,15,0,5,437,3,713,Mid,Healthcare,371,1
10338,2012,68,3,18,31,7,2,5,5819,0,250,Mid,Finance,193,1
10339,2000,29,9,13,34,12,0,0,0,2,509,Entry,Finance,128,1
10340,2011,36,0,11,30,4,2,5,9876,2,386,Senior,Manufacturing,310,1
10341,2002,48,3,18,31,6,1,1,2153,1,596,Senior,Manufacturing,107,0
10342,2012,34,10,10,36,13,4,4,6038,1,995,Mid,Technology,102,1
10343,1982,52,3,25,31,7,5,5,6008,3,694,Mid,Healthcare,434,1
10344,1997,56,9,19,36,5,5,2,6375,5,265,Executive,Education,132,1
10345,2004,27,8,12,38,14,5,3,5136,4,582,Executive,Education,249,1
10346,2021,26,2,38,37,4,4,0,0,5,21,Mid,Finance,395,1
10347,2010,43,1,44,29,7,4,3,959,5,406,Executive,Other,269,1
10348,1982,44,8,5,31,0,2,4,8469,4,75,Mid,Technology,443,1
10349,2019,46,8,36,1,15,5,3,4220,0,486,Senior,Other,102,1
10350,2003,55,0,9,10,0,0,3,3756,2,780,Entry,Healthcare,479,1
10351,2011,47,5,34,19,0,2,0,0,3,679,Mid,Education,295,1
10352,2001,68,9,26,36,2,5,4,9535,4,890,Mid,Finance,237,1
